num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_594210;407847;10/12/2022;39;;6.5;;45.5
ID_594297;353232;17/01/2022;115;-23;4.99;;96.99
ID_594324;325794;10/09/2021;31;;4.7;;35.7
ID_594324;336626;06/11/2021;124;-20;4.49;-4.49;104
ID_594324;342793;25/11/2021;625;;45.49;-45.49;625
ID_594336;297131;30/03/2021;175;-20;19.49;;174.49
ID_594341;326847;13/09/2021;55;;4.99;;59.99
ID_594347;312118;27/06/2021;43.5;;5.49;;48.99
ID_594347;321583;10/12/2021;60;;29.99;;89.99
ID_594347;325899;10/09/2021;24;;8;;32
ID_594347;343762;27/11/2021;178;;29.99;;207.99
ID_594347;344369;30/11/2021;63;;5.49;;68.49
ID_594347;344371;30/11/2021;21;;4.99;;25.99
ID_594347;344601;01/12/2021;31;;7.99;;38.99
ID_594347;350294;09/01/2022;;;;;
ID_594347;369521;02/04/2022;38;;9.49;;47.49
ID_594347;376460;09/05/2022;27.5;;5.99;;33.49
ID_594347;392803;19/12/2022;39;;22.5;;61.5
ID_594354;297170;30/03/2021;170;;19.49;;189.49
ID_594354;297171;30/03/2021;45;;6.8;;51.8
ID_594364;329798;28/09/2021;34;;7.99;;41.99
ID_594551;298015;04/04/2021;119;-15;5.99;-5.99;104
ID_594606;338067;11/11/2021;35;;19.49;;54.49
ID_594606;342428;24/11/2021;178;;29.99;-29.99;178
ID_594606;346081;08/12/2021;112;-15;5.99;-5.99;97
ID_594606;349794;08/01/2022;77.2;;11.2;;88.4
ID_594606;369443;02/04/2022;328;;19.5;;347.5
ID_594651;302401;29/04/2021;95;;5.49;;100.49
ID_594651;303990;10/05/2021;52.75;;4.7;-4.7;52.75
ID_594651;305457;20/05/2021;95;;19.49;;114.49
ID_594651;306303;26/05/2021;39.5;;19.49;;58.99
ID_594662;302832;02/05/2021;12.5;;6.49;;18.99
